Aggregate tradeId,Price,Quantity,First tradeId,Last tradeId,Timestamp,Was the buyer the maker?,Was the trade the best price match?
176343314,0.03289900,0.03100000,197110112,197110112,2020-10-12 07:46:55.057,True,True
176343315,0.03290000,0.12900000,197110113,197110113,2020-10-12 07:46:57.003,False,True
176343316,0.03290000,0.84800000,197110114,197110114,2020-10-12 07:46:58.165,False,True
176343317,0.03290000,0.73500000,197110115,197110115,2020-10-12 07:46:58.398,False,True
176343318,0.03290000,0.15100000,197110116,197110116,2020-10-12 07:47:01.511,False,True
176343319,0.03290000,0.37200000,197110117,197110117,2020-10-12 07:47:01.521,False,True
176343320,0.03290000,1.30900000,197110118,197110119,2020-10-12 07:47:03.970,False,True
176343321,0.03290100,0.15200000,197110120,197110122,2020-10-12 07:47:03.970,False,True
176343322,0.03290200,0.00700000,197110123,197110123,2020-10-12 07:47:03.970,False,True
176343323,0.03290300,0.02000000,197110124,197110124,2020-10-12 07:47:03.970,False,True
176343324,0.03290300,13.93900000,197110125,197110129,2020-10-12 07:47:04.514,False,True
176343325,0.03290300,0.91100000,197110130,197110130,2020-10-12 07:47:04.622,False,True
176343326,0.03290200,0.00400000,197110131,197110131,2020-10-12 07:47:04.836,True,True
176343327,0.03290200,0.00400000,197110132,197110132,2020-10-12 07:47:05.127,True,True
176343328,0.03289900,0.10800000,197110133,197110133,2020-10-12 07:47:08.038,False,True
176343329,0.03290300,3.62100000,197110134,197110136,2020-10-12 07:47:16.985,False,True
176343330,0.03290400,0.47300000,197110137,197110138,2020-10-12 07:47:18.283,False,True
176343331,0.03290500,2.00000000,197110139,197110139,2020-10-12 07:47:19.669,False,True
176343332,0.03290500,0.79200000,197110140,197110141,2020-10-12 07:47:20.600,False,True
176343333,0.03290400,0.41000000,197110142,197110143,2020-10-12 07:47:20.943,True,True
176343334,0.03290600,0.23200000,197110144,197110145,2020-10-12 07:47:21.032,False,True
176343335,0.03290400,0.20000000,197110146,197110146,2020-10-12 07:47:21.186,True,True
176343336,0.03290500,0.02100000,197110147,197110147,2020-10-12 07:47:23.365,True,True
176343337,0.03290700,0.30800000,197110148,197110148,2020-10-12 07:47:23.985,False,True
176343338,0.03290600,2.00000000,197110149,197110149,2020-10-12 07:47:28.335,True,True
176343339,0.03290700,0.08500000,197110150,197110150,2020-10-12 07:47:29.725,False,True
176343340,0.03290700,2.11300000,197110151,197110152,2020-10-12 07:47:29.781,False,True
176343341,0.03290500,0.18500000,197110153,197110153,2020-10-12 07:47:30.335,True,True
176343342,0.03290400,2.56500000,197110154,197110154,2020-10-12 07:47:30.444,True,True
176343343,0.03290400,0.15600000,197110155,197110155,2020-10-12 07:47:31.559,True,True
176343344,0.03290300,0.21500000,197110156,197110156,2020-10-12 07:47:31.559,True,True
176343345,0.03290400,0.37300000,197110157,197110157,2020-10-12 07:47:32.112,True,True
176343346,0.03290400,0.22400000,197110158,197110158,2020-10-12 07:47:32.626,True,True
176343347,0.03290400,1.73700000,197110159,197110160,2020-10-12 07:47:32.733,True,True
176343348,0.03290500,0.05300000,197110161,197110161,2020-10-12 07:47:33.072,True,True
176343349,0.03290100,0.00400000,197110162,197110162,2020-10-12 07:47:33.559,True,True
176343350,0.03289800,0.36700000,197110163,197110163,2020-10-12 07:47:33.559,True,True
176343351,0.03290000,0.37100000,197110164,197110164,2020-10-12 07:47:34.559,True,True
176343352,0.03290500,2.55800000,197110165,197110165,2020-10-12 07:47:37.586,True,True
176343353,0.03290600,0.00400000,197110166,197110166,2020-10-12 07:47:37.678,False,True
176343354,0.03290600,1.99600000,197110167,197110167,2020-10-12 07:47:38.147,True,True
176343355,0.03290800,9.67400000,197110168,197110171,2020-10-12 07:47:38.453,False,True
176343356,0.03290300,0.12100000,197110172,197110172,2020-10-12 07:47:38.979,True,True
176343357,0.03290000,0.12100000,197110173,197110173,2020-10-12 07:47:39.294,True,True
176343358,0.03289900,3.84500000,197110174,197110174,2020-10-12 07:47:39.294,True,True
176343359,0.03290100,0.00400000,197110175,197110175,2020-10-12 07:47:40.654,False,True
176343360,0.03289900,2.51100000,197110176,197110176,2020-10-12 07:47:41.475,True,True
176343361,0.03290200,0.08600000,197110177,197110177,2020-10-12 07:47:42.297,False,True
176343362,0.03290200,0.03500000,197110178,197110178,2020-10-12 07:47:44.175,False,True
176343363,0.03290600,0.02900000,197110179,197110180,2020-10-12 07:47:49.707,False,True
176343364,0.03291000,0.08100000,197110181,197110182,2020-10-12 07:47:49.896,False,True
176343365,0.03290900,0.44700000,197110183,197110183,2020-10-12 07:47:53.779,False,True
176343366,0.03290700,2.00000000,197110184,197110184,2020-10-12 07:47:55.795,True,True
176343367,0.03290600,0.08200000,197110185,197110185,2020-10-12 07:47:58.036,False,True
176343368,0.03290500,0.08000000,197110186,197110186,2020-10-12 07:48:00.026,False,True
176343369,0.03290400,0.08000000,197110187,197110187,2020-10-12 07:48:00.340,True,True
176343370,0.03290200,0.18200000,197110188,197110188,2020-10-12 07:48:00.447,True,True
176343371,0.03290500,1.00000000,197110189,197110189,2020-10-12 07:48:05.769,True,True
176343372,0.03290500,2.00000000,197110190,197110190,2020-10-12 07:48:07.783,True,True
176343373,0.03290600,1.00000000,197110191,197110191,2020-10-12 07:48:07.905,True,True
176343374,0.03290200,2.00000000,197110192,197110192,2020-10-12 07:48:13.888,False,True
176343375,0.03290400,0.26400000,197110193,197110193,2020-10-12 07:48:19.920,True,True
176343376,0.03290400,0.17900000,197110194,197110194,2020-10-12 07:48:20.835,True,True
176343377,0.03290400,0.13300000,197110195,197110195,2020-10-12 07:48:21.046,True,True
176343378,0.03290400,0.02700000,197110196,197110196,2020-10-12 07:48:21.365,True,True
176343379,0.03290400,0.10500000,197110197,197110197,2020-10-12 07:48:21.465,True,True
176343380,0.03290400,0.18800000,197110198,197110198,2020-10-12 07:48:21.570,True,True
176343381,0.03290400,1.10400000,197110199,197110199,2020-10-12 07:48:22.525,True,True
176343382,0.03290400,0.75300000,197110200,197110200,2020-10-12 07:48:22.955,False,True
176343383,0.03290500,8.14300000,197110201,197110202,2020-10-12 07:48:22.955,False,True
176343384,0.03290300,0.23800000,197110203,197110203,2020-10-12 07:48:25.423,True,True
176343385,0.03290300,0.76200000,197110204,197110204,2020-10-12 07:48:25.514,True,True
176343386,0.03290400,0.08000000,197110205,197110205,2020-10-12 07:48:25.675,False,True
176343387,0.03290400,1.86900000,197110206,197110206,2020-10-12 07:48:25.729,True,True
176343388,0.03290500,0.20600000,197110207,197110207,2020-10-12 07:48:26.665,False,True
176343389,0.03290500,2.00000000,197110208,197110208,2020-10-12 07:48:31.686,False,True
176343390,0.03290300,1.00000000,197110209,197110209,2020-10-12 07:48:34.213,True,True
176343391,0.03290200,0.22100000,197110210,197110210,2020-10-12 07:48:37.685,False,True
176343392,0.03290200,0.68300000,197110211,197110211,2020-10-12 07:48:41.461,True,True
176343393,0.03290200,0.30400000,197110212,197110212,2020-10-12 07:48:42.060,True,True
176343394,0.03290200,3.17200000,197110213,197110215,2020-10-12 07:48:42.167,True,True
176343395,0.03290200,0.44900000,197110216,197110216,2020-10-12 07:48:43.236,True,True
176343396,0.03290300,0.68500000,197110217,197110218,2020-10-12 07:48:43.673,False,True
176343397,0.03290300,0.92200000,197110219,197110219,2020-10-12 07:48:43.773,True,True
176343398,0.03290300,0.39300000,197110220,197110220,2020-10-12 07:48:44.071,True,True
176343399,0.03290200,8.88600000,197110221,197110221,2020-10-12 07:48:47.458,True,True
176343400,0.03290600,1.48600000,197110222,197110223,2020-10-12 07:48:49.677,False,True
176343401,0.03290600,0.36700000,197110224,197110224,2020-10-12 07:48:54.564,True,True
176343402,0.03290400,0.08200000,197110225,197110225,2020-10-12 07:48:57.900,False,True
176343403,0.03290400,0.02500000,197110226,197110226,2020-10-12 07:49:01.592,False,True
176343404,0.03290300,0.02600000,197110227,197110227,2020-10-12 07:49:02.131,True,True
176343405,0.03290300,0.01800000,197110228,197110228,2020-10-12 07:49:03.497,True,True
176343406,0.03290400,1.30700000,197110229,197110229,2020-10-12 07:49:06.338,False,True
176343407,0.03290300,0.95600000,197110230,197110230,2020-10-12 07:49:09.507,True,True
176343408,0.03290200,0.14000000,197110231,197110231,2020-10-12 07:49:09.507,True,True
176343409,0.03290300,1.00000000,197110232,197110232,2020-10-12 07:49:13.097,True,True
176343410,0.03290100,0.54800000,197110233,197110234,2020-10-12 07:49:15.197,True,True
176343411,0.03290200,5.78900000,197110235,197110236,2020-10-12 07:49:16.140,False,True
176343412,0.03290200,0.27500000,197110237,197110237,2020-10-12 07:49:16.706,False,True
176343413,0.03290200,0.01300000,197110238,197110238,2020-10-12 07:49:17.268,False,True
176343414,0.03290100,1.63100000,197110239,197110239,2020-10-12 07:49:18.934,True,True
176343415,0.03290100,0.03600000,197110240,197110240,2020-10-12 07:49:21.281,True,True
176343416,0.03290200,0.35400000,197110241,197110241,2020-10-12 07:49:22.293,False,True
176343417,0.03290200,5.78900000,197110242,197110242,2020-10-12 07:49:24.382,False,True
176343418,0.03290200,0.27500000,197110243,197110243,2020-10-12 07:49:24.945,False,True
176343419,0.03290200,0.01300000,197110244,197110244,2020-10-12 07:49:25.497,False,True
176343420,0.03290400,0.86800000,197110245,197110246,2020-10-12 07:49:32.638,False,True
176343421,0.03290500,2.47800000,197110247,197110247,2020-10-12 07:49:32.638,False,True
176343422,0.03290500,0.16000000,197110248,197110248,2020-10-12 07:49:33.195,False,True
176343423,0.03290500,0.00700000,197110249,197110249,2020-10-12 07:49:33.748,False,True
176343424,0.03290500,0.24800000,197110250,197110250,2020-10-12 07:49:35.259,False,True
176343425,0.03290200,0.42100000,197110251,197110251,2020-10-12 07:49:37.391,True,True
176343426,0.03290200,2.12500000,197110252,197110252,2020-10-12 07:49:37.583,True,True
176343427,0.03290200,1.64400000,197110253,197110265,2020-10-12 07:49:37.920,True,True
176343428,0.03290100,0.10800000,197110266,197110267,2020-10-12 07:49:39.089,True,True
176343429,0.03290100,0.02800000,197110268,197110268,2020-10-12 07:49:39.214,True,True
176343430,0.03290400,0.41900000,197110269,197110269,2020-10-12 07:49:39.725,False,True
176343431,0.03290400,0.00100000,197110270,197110270,2020-10-12 07:49:39.725,False,True
176343432,0.03290500,0.09600000,197110271,197110271,2020-10-12 07:49:39.725,False,True
176343433,0.03290500,0.42000000,197110272,197110272,2020-10-12 07:49:39.732,False,True
176343434,0.03290500,5.78800000,197110273,197110273,2020-10-12 07:49:40.867,False,True
176343435,0.03290500,0.27600000,197110274,197110274,2020-10-12 07:49:41.423,False,True
176343436,0.03290500,0.01300000,197110275,197110275,2020-10-12 07:49:41.998,False,True
176343437,0.03290500,0.06500000,197110276,197110276,2020-10-12 07:49:44.120,False,True
176343438,0.03290400,0.06700000,197110277,197110277,2020-10-12 07:49:52.866,False,True
176343439,0.03290200,2.79300000,197110278,197110281,2020-10-12 07:49:55.200,True,True
176343440,0.03290100,18.64800000,197110282,197110282,2020-10-12 07:49:55.200,True,True
176343441,0.03290100,0.67800000,197110283,197110283,2020-10-12 07:49:55.321,True,True
176343442,0.03290200,13.83000000,197110284,197110285,2020-10-12 07:50:02.000,False,True
176343443,0.03290200,4.71000000,197110286,197110286,2020-10-12 07:50:02.215,False,True
176343444,0.03290200,0.21200000,197110287,197110287,2020-10-12 07:50:09.984,False,True
176343445,0.03290100,1.00000000,197110288,197110288,2020-10-12 07:50:10.092,True,True
176343446,0.03290100,0.21200000,197110289,197110289,2020-10-12 07:50:10.488,False,True
176343447,0.03290100,0.08900000,197110290,197110290,2020-10-12 07:50:11.350,False,True
176343448,0.03290000,0.01500000,197110291,197110291,2020-10-12 07:50:13.330,True,True
176343449,0.03290000,0.01800000,197110292,197110292,2020-10-12 07:50:15.468,True,True
176343450,0.03290000,6.48700000,197110293,197110294,2020-10-12 07:50:19.059,True,True
176343451,0.03289800,0.03500000,197110295,197110295,2020-10-12 07:50:19.270,False,True
176343452,0.03290400,0.07300000,197110296,197110296,2020-10-12 07:50:21.388,False,True
176343453,0.03290500,1.29300000,197110297,197110298,2020-10-12 07:50:22.111,False,True
176343454,0.03290400,0.09800000,197110299,197110299,2020-10-12 07:50:22.212,True,True
176343455,0.03290200,1.12700000,197110300,197110300,2020-10-12 07:50:22.212,True,True
176343456,0.03290400,0.17700000,197110301,197110301,2020-10-12 07:50:22.362,False,True
176343457,0.03289900,0.92600000,197110302,197110302,2020-10-12 07:50:24.329,True,True
176343458,0.03290000,0.85900000,197110303,197110303,2020-10-12 07:50:24.525,True,True
176343459,0.03290000,0.89200000,197110304,197110304,2020-10-12 07:50:24.631,True,True
176343460,0.03290400,0.09000000,197110305,197110305,2020-10-12 07:50:27.133,False,True
176343461,0.03290300,0.09800000,197110306,197110306,2020-10-12 07:50:40.210,True,True
176343462,0.03290300,0.44500000,197110307,197110307,2020-10-12 07:50:40.317,True,True
176343463,0.03290400,24.03100000,197110308,197110309,2020-10-12 07:50:41.102,False,True
176343464,0.03290600,0.00600000,197110310,197110311,2020-10-12 07:50:43.299,False,True
176343465,0.03290700,0.08600000,197110312,197110312,2020-10-12 07:50:45.286,False,True
176343466,0.03290500,0.25400000,197110313,197110313,2020-10-12 07:50:49.261,True,True
176343467,0.03290400,0.15700000,197110314,197110314,2020-10-12 07:50:49.261,True,True
176343468,0.03290600,0.09500000,197110315,197110315,2020-10-12 07:50:49.938,False,True
176343469,0.03290400,0.05300000,197110316,197110316,2020-10-12 07:50:51.246,True,True
176343470,0.03290500,0.08200000,197110317,197110317,2020-10-12 07:50:56.230,True,True
176343471,0.03290500,0.08000000,197110318,197110318,2020-10-12 07:50:58.231,True,True
176343472,0.03290600,0.10300000,197110319,197110320,2020-10-12 07:50:58.583,False,True
176343473,0.03290500,0.01300000,197110321,197110321,2020-10-12 07:51:01.200,True,True
176343474,0.03290600,0.61000000,197110322,197110322,2020-10-12 07:51:01.359,False,True
176343475,0.03290600,0.60800000,197110323,197110323,2020-10-12 07:51:03.362,False,True
