Bid Price,Bid Quantity,Ask Price,Ask Quantity
0.00264620,3.92000000,0.00267630,0.22000000
0.00264610,1722.08000000,0.00267640,4.81000000
0.00264600,13.22000000,0.00267650,3.74000000
0.00264590,39.16000000,0.00267670,0.34000000
0.00264580,0.39000000,0.00267680,2.11000000
0.00264570,11.67000000,0.00267690,2.56000000
0.00264560,12.27000000,0.00267700,2.71000000
0.00264550,2104.63000000,0.00267710,4.09000000
0.00264540,2.67000000,0.00267730,3.06000000
0.00264530,0.90000000,0.00267740,0.28000000
0.00264520,0.16000000,0.00267750,3.51000000
0.00264510,13.19000000,0.00267760,13.30000000
0.00264500,8.54000000,0.00267770,3.80000000
0.00264490,13.55000000,0.00267790,3.13000000
0.00264480,0.15000000,0.00267800,3.21000000
0.00264470,6.33000000,0.00267810,3.71000000
0.00264460,3.17000000,0.00267820,3.48000000
0.00264450,2.26000000,0.00267830,0.30000000
0.00264440,2.57000000,0.00267840,0.21000000
0.00264430,1.84000000,0.00267850,0.62000000
0.00264420,4.31000000,0.00267860,2.93000000
0.00264410,13.74000000,0.00267870,3.73000000
0.00264400,3.58000000,0.00267880,0.11000000
0.00264390,389.93000000,0.00267890,4.46000000
0.00264380,0.29000000,0.00267900,2.04000000
0.00264370,24.67000000,0.00267910,1.48000000
0.00264360,0.96000000,0.00267920,3.48000000
0.00264350,4.33000000,0.00267930,5.52000000
0.00264340,3.72000000,0.00267950,1.53000000
0.00264330,2.70000000,0.00267960,2.26000000
0.00264320,21.89000000,0.00267970,4.68000000
0.00264310,9.18000000,0.00267980,4.09000000
0.00264300,4.88000000,0.00267990,10.00000000
0.00264280,10.73000000,0.00268000,237.81000000
0.00264270,0.38000000,0.00268020,0.38000000
0.00264260,6.17000000,0.00268030,8.69000000
0.00264250,2.34000000,0.00268050,1.14000000
0.00264240,4.00000000,0.00268060,1.96000000
0.00264230,16.66000000,0.00268070,0.22000000
0.00264220,5.12000000,0.00268080,10.17000000
0.00264210,3.08000000,0.00268090,0.05000000
0.00264200,213.06000000,0.00268100,3.43000000
0.00264190,0.99000000,0.00268110,12.72000000
0.00264180,5.10000000,0.00268120,4.00000000
0.00264160,22.74000000,0.00268130,2.90000000
0.00264150,9.36000000,0.00268140,1.59000000
0.00264140,4.18000000,0.00268150,9.84000000
0.00264130,2.78000000,0.00268160,0.62000000
0.00264120,2.58000000,0.00268170,0.18000000
0.00264110,3.08000000,0.00268180,0.82000000
0.00264100,61.04000000,0.00268190,1.91000000
0.00264090,2.06000000,0.00268200,13.27000000
0.00264080,2.32000000,0.00268210,4.11000000
0.00264070,0.75000000,0.00268220,4.09000000
0.00264060,30.77000000,0.00268230,2.71000000
0.00264050,11.57000000,0.00268240,0.81000000
0.00264040,3.80000000,0.00268260,47.45000000
0.00264030,2.72000000,0.00268270,1.38000000
0.00264020,1.56000000,0.00268280,2.99000000
0.00264010,1.25000000,0.00268290,0.31000000
0.00264000,401.44000000,0.00268300,0.14000000
0.00263990,42.37000000,0.00268310,3.46000000
0.00263980,1.33000000,0.00268320,0.05000000
0.00263970,1.90000000,0.00268330,12.93000000
0.00263960,0.94000000,0.00268350,3.22000000
0.00263950,9.11000000,0.00268360,10.00000000
0.00263940,0.15000000,0.00268370,1.68000000
0.00263930,0.44000000,0.00268380,3.75000000
0.00263920,3.04000000,0.00268390,1.40000000
0.00263910,5.10000000,0.00268400,6.15000000
0.00263900,59.29000000,0.00268410,0.62000000
0.00263890,0.80000000,0.00268420,0.46000000
0.00263880,1.72000000,0.00268430,0.25000000
0.00263870,2.50000000,0.00268440,0.55000000
0.00263860,13.11000000,0.00268450,1.74000000
0.00263850,24.16000000,0.00268460,2.58000000
0.00263840,3.13000000,0.00268470,4.90000000
0.00263830,19.38000000,0.00268480,0.07000000
0.00263820,0.87000000,0.00268490,0.57000000
0.00263810,25.02000000,0.00268500,60.99000000
0.00263800,8.32000000,0.00268510,3.31000000
0.00263790,36.04000000,0.00268520,1.83000000
0.00263780,2.40000000,0.00268530,1.83000000
0.00263770,1.69000000,0.00268540,0.10000000
0.00263760,2.10000000,0.00268550,2.80000000
0.00263750,4.83000000,0.00268560,0.77000000
0.00263740,0.69000000,0.00268570,4.35000000
0.00263730,33.20000000,0.00268580,0.54000000
0.00263720,0.60000000,0.00268590,2.53000000
0.00263710,1.58000000,0.00268600,0.43000000
0.00263700,9.50000000,0.00268610,353.13000000
0.00263690,17.05000000,0.00268620,1.40000000
0.00263680,1.95000000,0.00268640,35.17000000
0.00263670,0.29000000,0.00268650,1.82000000
0.00263660,192.68000000,0.00268660,3.47000000
0.00263650,52.28000000,0.00268670,2.09000000
0.00263640,4.62000000,0.00268680,1.37000000
0.00263630,1090.67000000,0.00268690,42.90000000
0.00263620,1.40000000,0.00268700,0.61000000
0.00263610,6.00000000,0.00268710,3.53000000
0.00263600,11.22000000,0.00268720,0.84000000
0.00263590,1.11000000,0.00268730,281.63000000
0.00263580,4.31000000,0.00268740,0.22000000
0.00263570,5.34000000,0.00268750,7.81000000
0.00263560,43.54000000,0.00268760,0.90000000
0.00263550,1.17000000,0.00268770,0.29000000
0.00263540,132.80000000,0.00268780,10.07000000
0.00263530,42.80000000,0.00268800,1.67000000
0.00263520,293.17000000,0.00268820,3.29000000
0.00263510,1.34000000,0.00268830,2.96000000
